# Frame-by-frame normalized mouth-region optical motion for reel_c1 (945.0s - 985.0s)
# Summary: ma min=0.0002, max=0.8685, eq1.0=0 | mb min=0.0000, max=0.9091, eq1.0=0
# frame_idx	time_sec	mouth_spk_a	mouth_spk_b	diff (a - b)
   0	 945.000	0.0189	0.0000	+0.0189
   1	 945.033	0.0220	0.0000	+0.0220
   2	 945.067	0.0459	0.0000	+0.0459
   3	 945.100	0.0918	0.0076	+0.0843
   4	 945.133	0.1180	0.0076	+0.1104
   5	 945.167	0.3049	0.0076	+0.2973
   6	 945.200	0.3408	0.0076	+0.3332
   7	 945.233	0.3395	0.3098	+0.0297
   8	 945.267	0.2995	0.5238	-0.2243
   9	 945.300	0.2734	0.5519	-0.2785
  10	 945.333	0.0675	0.5746	-0.5071
  11	 945.367	0.0286	0.6052	-0.5767
  12	 945.400	0.0060	0.3557	-0.3497
  13	 945.433	0.0111	0.1877	-0.1766
  14	 945.467	0.0111	0.2076	-0.1964
  15	 945.500	0.0111	0.2231	-0.2120
  16	 945.533	0.0141	0.5499	-0.5358
  17	 945.567	0.0193	0.6737	-0.6544
  18	 945.600	0.0131	0.7837	-0.7706
  19	 945.633	0.0409	0.7589	-0.7180
  20	 945.667	0.0674	0.7255	-0.6580
  21	 945.700	0.2782	0.3680	-0.0898
  22	 945.733	0.2917	0.1915	+0.1001
  23	 945.767	0.3062	0.0279	+0.2783
  24	 945.800	0.2802	0.0050	+0.2752
  25	 945.833	0.2542	0.0058	+0.2484
  26	 945.867	0.0486	0.0058	+0.0429
  27	 945.900	0.0444	0.0058	+0.0386
  28	 945.933	0.0347	0.0058	+0.0289
  29	 945.967	0.0522	0.0056	+0.0465
  30	 946.000	0.2655	0.3633	-0.0979
  31	 946.033	0.2823	0.5395	-0.2572
  32	 946.067	0.2839	0.7614	-0.4775
  33	 946.100	0.2853	0.7718	-0.4865
  34	 946.133	0.2726	0.7742	-0.5016
  35	 946.167	0.0650	0.4195	-0.3545
  36	 946.200	0.0479	0.2460	-0.1981
  37	 946.233	0.0594	0.0241	+0.0354
  38	 946.267	0.0682	0.0136	+0.0546
  39	 946.300	0.2807	0.0113	+0.2694
  40	 946.333	0.3009	0.0026	+0.2983
  41	 946.367	0.3224	0.0038	+0.3186
  42	 946.400	0.3048	0.0038	+0.3010
  43	 946.433	0.3027	0.0038	+0.2989
  44	 946.467	0.0968	0.0193	+0.0775
  45	 946.500	0.0779	0.0391	+0.0389
  46	 946.533	0.0610	0.0516	+0.0094
  47	 946.567	0.0693	0.0516	+0.0177
  48	 946.600	0.0701	0.0589	+0.0113
  49	 946.633	0.0824	0.0434	+0.0390
  50	 946.667	0.0864	0.0236	+0.0628
  51	 946.700	0.3005	0.0073	+0.2933
  52	 946.733	0.3006	0.0073	+0.2934
  53	 946.767	0.2871	0.0039	+0.2832
  54	 946.800	0.2683	0.0204	+0.2479
  55	 946.833	0.2602	0.0538	+0.2065
  56	 946.867	0.0340	0.0748	-0.0408
  57	 946.900	0.0180	0.0886	-0.0706
  58	 946.933	0.0235	0.1073	-0.0839
  59	 946.967	0.0287	0.1165	-0.0878
  60	 947.000	0.0342	0.1157	-0.0815
  61	 947.033	0.0524	0.1186	-0.0662
  62	 947.067	0.0683	0.1325	-0.0642
  63	 947.100	0.0694	0.1410	-0.0717
  64	 947.133	0.0598	0.1423	-0.0825
  65	 947.167	0.2854	0.1293	+0.1561
  66	 947.200	0.2762	0.1098	+0.1663
  67	 947.233	0.2672	0.0861	+0.1812
  68	 947.267	0.4764	0.0617	+0.4146
  69	 947.300	0.4823	0.0421	+0.4402
  70	 947.333	0.2593	0.0246	+0.2347
  71	 947.367	0.2567	0.0232	+0.2334
  72	 947.400	0.2498	0.0231	+0.2266
  73	 947.433	0.0363	0.0187	+0.0176
