# Frame-by-frame normalized mouth-region optical motion for reel_c1 (945.0s - 985.0s)
# frame_idx	time_sec	mouth_spk_a	mouth_spk_b	diff (a - b)
 130	 949.333	0.0413	0.3512	-0.3099
 131	 949.367	0.0680	0.6191	-0.5511
 132	 949.400	0.0428	0.1550	-0.1122
 133	 949.433	0.0821	0.3164	-0.2343
 134	 949.467	0.0542	1.0000	-0.9458
 135	 949.500	0.1000	1.0000	-0.9000
 136	 949.533	0.0914	1.0000	-0.9086
 137	 949.567	0.7658	1.0000	-0.2342
 138	 949.600	0.1007	0.7160	-0.6153
 139	 949.633	0.0303	0.4587	-0.4284
 140	 949.667	0.0357	0.4992	-0.4635
 141	 949.700	0.6154	0.4428	+0.1726
 142	 949.733	0.6435	0.3160	+0.3275
 143	 949.767	0.0296	0.3090	-0.2795
 144	 949.800	0.0526	0.2267	-0.1741
 145	 949.833	0.0510	0.1688	-0.1179
 146	 949.867	0.0992	0.3245	-0.2253
 147	 949.900	0.7630	0.1014	+0.6616
 148	 949.933	0.0511	0.1221	-0.0710
 149	 949.967	0.7723	0.0633	+0.7090
 150	 950.000	0.7758	0.1044	+0.6714
 151	 950.033	0.0266	0.3225	-0.2960
 152	 950.067	1.0000	0.0464	+0.9536
 153	 950.100	1.0000	0.2280	+0.7720
 154	 950.133	0.0381	0.3347	-0.2966
 155	 950.167	0.4468	0.1270	+0.3198
 156	 950.200	0.6074	0.1160	+0.4914
 157	 950.233	0.0097	0.1005	-0.0907
 158	 950.267	0.6921	0.0945	+0.5975
 159	 950.300	0.0533	0.1607	-0.1074
 160	 950.333	0.0513	0.0638	-0.0125
 161	 950.367	0.6857	0.0680	+0.6177
 162	 950.400	0.6840	0.2599	+0.4241
 163	 950.433	0.0112	0.2775	-0.2663
 164	 950.467	0.0102	0.1916	-0.1813
 165	 950.500	0.6993	0.2244	+0.4749
 166	 950.533	0.0251	0.1393	-0.1141
 167	 950.567	0.0062	0.1333	-0.1271
 168	 950.600	0.0517	0.3928	-0.3411
 169	 950.633	0.0090	0.5198	-0.5107
 170	 950.667	0.0066	1.0000	-0.9934
 171	 950.700	0.0110	0.4360	-0.4250
 172	 950.733	0.0155	0.4320	-0.4164
 173	 950.767	0.7620	0.4910	+0.2711
 174	 950.800	0.0342	0.3126	-0.2784
 175	 950.833	0.0214	0.4036	-0.3822
 176	 950.867	0.0196	0.2885	-0.2689
 177	 950.900	0.0125	0.2258	-0.2133
 178	 950.933	0.0367	0.6593	-0.6226
 179	 950.967	0.0180	0.6573	-0.6393
 180	 951.000	0.0197	0.1366	-0.1168
 181	 951.033	0.0181	0.1308	-0.1127
 182	 951.067	0.0201	0.1172	-0.0971
 183	 951.100	0.0604	0.1713	-0.1110
 184	 951.133	0.0446	0.2402	-0.1956
 185	 951.167	0.7721	0.2346	+0.5375
 186	 951.200	0.0520	0.3128	-0.2608
 187	 951.233	0.0252	0.2194	-0.1942
 188	 951.267	0.0799	0.5906	-0.5106
 189	 951.300	0.0515	0.5680	-0.5165
 190	 951.333	0.0405	0.5451	-0.5045
 191	 951.367	0.6201	0.5219	+0.0982
 192	 951.400	0.0305	0.0702	-0.0397
 193	 951.433	0.0111	0.0580	-0.0469
 194	 951.467	0.0410	0.5077	-0.4666
 195	 951.500	0.0406	0.2010	-0.1603
 196	 951.533	0.6599	0.1300	+0.5299
 197	 951.567	0.0590	0.5323	-0.4733
 198	 951.600	0.0680	0.2586	-0.1906
 199	 951.633	0.0395	0.5524	-0.5128
 200	 951.667	0.0686	0.1390	-0.0704
 201	 951.700	0.0360	0.1416	-0.1056
 202	 951.733	0.0307	0.2466	-0.2159
 203	 951.767	0.0284	0.2548	-0.2264
 204	 951.800	0.0545	0.1528	-0.0983
 205	 951.833	0.0350	0.3426	-0.3076
 206	 951.867	0.0770	0.1480	-0.0711
 207	 951.900	0.0571	0.1008	-0.0436
 208	 951.933	0.0622	0.1219	-0.0597
 209	 951.967	0.0963	0.1806	-0.0842
 210	 952.000	0.0603	0.0679	-0.0076
 211	 952.033	0.0877	0.3063	-0.2186
 212	 952.067	0.0883	0.2175	-0.1292
 213	 952.100	0.0511	0.2257	-0.1746
 214	 952.133	0.5161	0.1419	+0.3742
 215	 952.167	0.0569	0.5641	-0.5072
 216	 952.200	0.5475	0.5454	+0.0021
 217	 952.233	0.0341	0.2254	-0.1913
 218	 952.267	0.0315	0.1607	-0.1292
 219	 952.300	0.0702	0.6343	-0.5640
 220	 952.333	0.1087	0.1391	-0.0304
 221	 952.367	0.0673	0.5952	-0.5279
 222	 952.400	0.0927	0.5735	-0.4808
 223	 952.433	0.0937	0.0758	+0.0179
 224	 952.467	0.0592	0.1841	-0.1249
 225	 952.500	0.7616	0.1521	+0.6095
 226	 952.533	0.0459	0.1286	-0.0827
 227	 952.567	0.0202	0.2956	-0.2754
 228	 952.600	0.0157	0.4276	-0.4119
 229	 952.633	0.0295	0.5276	-0.4981
 230	 952.667	0.0194	0.7109	-0.6915
 231	 952.700	0.0417	0.4059	-0.3641
 232	 952.733	0.0238	0.5283	-0.5045
 233	 952.767	0.0292	0.4097	-0.3805
 234	 952.800	0.0115	0.3187	-0.3072
 235	 952.833	0.0329	0.2677	-0.2348
 236	 952.867	0.0326	0.0830	-0.0504
 237	 952.900	0.0309	0.1820	-0.1511
 238	 952.933	0.0131	0.1730	-0.1599
 239	 952.967	0.4318	0.0969	+0.3349
 240	 953.000	0.4247	0.2125	+0.2122
 241	 953.033	0.0266	0.2085	-0.1819
 242	 953.067	0.0308	0.2470	-0.2162
 243	 953.100	0.0197	0.2284	-0.2087
 244	 953.133	0.0169	0.0733	-0.0564
 245	 953.167	0.0308	0.0907	-0.0600
 246	 953.200	0.0413	0.2089	-0.1676
 247	 953.233	0.0646	0.1862	-0.1216
 248	 953.267	0.7976	0.1909	+0.6067
 249	 953.300	0.1130	1.0000	-0.8870
 250	 953.333	0.0538	1.0000	-0.9462
 251	 953.367	0.6007	1.0000	-0.3993
 252	 953.400	0.0429	0.1602	-0.1173
 253	 953.433	0.0249	1.0000	-0.9751
 254	 953.467	0.5961	0.2606	+0.3355
 255	 953.500	0.0440	0.9407	-0.8967
 256	 953.533	0.0789	1.0000	-0.9211
 257	 953.567	0.7768	0.0886	+0.6882
 258	 953.600	0.1221	0.5297	-0.4076
 259	 953.633	0.0744	0.2758	-0.2014
 260	 953.667	0.0779	0.7556	-0.6777
 261	 953.700	0.1108	0.1165	-0.0057
 262	 953.733	0.0991	0.1142	-0.0150
 263	 953.767	0.0490	0.8311	-0.7821
 264	 953.800	0.0371	1.0000	-0.9629
 265	 953.833	0.0371	1.0000	-0.9629
 266	 953.867	0.0337	0.1703	-0.1366
 267	 953.900	0.0942	0.1646	-0.0704
 268	 953.933	0.0642	0.1930	-0.1288
 269	 953.967	0.0794	0.2669	-0.1875
 270	 954.000	0.0945	0.2034	-0.1089
 271	 954.033	0.0917	0.1529	-0.0612
 272	 954.067	0.0702	0.1832	-0.1130
 273	 954.100	0.0904	0.0978	-0.0075
 274	 954.133	0.0441	0.1234	-0.0793
 275	 954.167	0.0317	0.2206	-0.1889
 276	 954.200	0.0416	0.1708	-0.1291
 277	 954.233	0.0534	0.2237	-0.1703
 278	 954.267	0.0510	0.1112	-0.0601
 279	 954.300	0.0458	0.1504	-0.1046
 280	 954.333	0.0457	0.1811	-0.1354
 281	 954.367	0.0426	0.4275	-0.3849
 282	 954.400	0.0300	0.2841	-0.2541
 283	 954.433	0.0304	0.2283	-0.1979
 284	 954.467	0.7464	0.1226	+0.6238
 285	 954.500	0.0453	0.2535	-0.2082
 286	 954.533	0.0377	0.4302	-0.3925
 287	 954.567	0.0429	0.3145	-0.2716
 288	 954.600	0.0418	0.1169	-0.0750
 289	 954.633	0.0229	0.2104	-0.1875
 290	 954.667	0.0311	0.2627	-0.2317
 291	 954.700	0.0316	0.1630	-0.1313
 292	 954.733	0.0305	0.3011	-0.2706
 293	 954.767	0.0262	0.2449	-0.2187
 294	 954.800	0.7500	0.4062	+0.3439
 295	 954.833	0.0191	0.2191	-0.2000
 296	 954.867	0.0543	0.2175	-0.1633
 297	 954.900	0.0211	0.2096	-0.1884
 298	 954.933	0.0552	0.2588	-0.2037
 299	 954.967	0.0366	0.2840	-0.2474
 300	 955.000	0.7637	0.1847	+0.5790
 301	 955.033	0.0730	0.2319	-0.1589
 302	 955.067	0.0753	0.1888	-0.1135
 303	 955.100	0.1225	0.1441	-0.0216
 304	 955.133	0.0504	0.1493	-0.0989
 305	 955.167	0.0574	0.3034	-0.2461
 306	 955.200	0.5599	0.2127	+0.3472
 307	 955.233	0.0311	0.2173	-0.1862
 308	 955.267	0.5393	0.2257	+0.3136
 309	 955.300	0.0811	0.2550	-0.1739
 310	 955.333	0.0580	0.3820	-0.3240
 311	 955.367	0.1088	0.2508	-0.1420
 312	 955.400	0.1255	0.1019	+0.0235
 313	 955.433	0.7464	0.1757	+0.5707
 314	 955.467	0.0998	0.1685	-0.0687
 315	 955.500	0.0912	0.0889	+0.0023
 316	 955.533	0.1000	0.1598	-0.0598
 317	 955.567	0.0460	0.2398	-0.1939
 318	 955.600	0.0270	0.6063	-0.5794
 319	 955.633	0.0506	0.1440	-0.0934
 320	 955.667	0.0377	0.5743	-0.5366
 321	 955.700	0.0540	0.1102	-0.0562
 322	 955.733	0.0727	0.0853	-0.0126
 323	 955.767	0.1026	0.0683	+0.0343
 324	 955.800	0.1172	0.2115	-0.0943
 325	 955.833	0.7736	0.1189	+0.6547
 326	 955.867	0.1187	0.2048	-0.0861
 327	 955.900	0.0626	0.0899	-0.0273
 328	 955.933	0.0807	0.1545	-0.0738
 329	 955.967	0.0339	0.2148	-0.1810
 330	 956.000	0.5820	0.1380	+0.4440
 331	 956.033	0.0188	0.2086	-0.1898
 332	 956.067	0.6256	0.1104	+0.5152
 333	 956.100	0.0324	0.1736	-0.1413
 334	 956.133	0.0749	0.2811	-0.2062
 335	 956.167	0.0377	0.2347	-0.1970
 336	 956.200	0.0700	0.1745	-0.1046
 337	 956.233	0.0517	0.6064	-0.5547
 338	 956.267	0.0608	0.5685	-0.5078
 339	 956.300	0.7673	0.3534	+0.4139
 340	 956.333	0.0329	0.1512	-0.1183
 341	 956.367	0.0238	0.2170	-0.1932
 342	 956.400	0.0196	0.4929	-0.4734
 343	 956.433	0.0273	0.2580	-0.2307
 344	 956.467	0.0423	0.1646	-0.1223
 345	 956.500	0.0314	0.5170	-0.4856
 346	 956.533	0.7776	0.1280	+0.6496
 347	 956.567	0.0497	0.5834	-0.5337
 348	 956.600	0.0491	0.0983	-0.0492
 349	 956.633	0.0484	0.2073	-0.1589
 350	 956.667	0.0433	0.0850	-0.0417
 351	 956.700	0.0268	0.2457	-0.2190
 352	 956.733	0.6817	0.1205	+0.5612
 353	 956.767	0.6710	0.6082	+0.0628
 354	 956.800	0.0324	0.1310	-0.0986
 355	 956.833	0.0465	0.3994	-0.3529
 356	 956.867	0.0302	0.1307	-0.1006
 357	 956.900	0.0158	0.1504	-0.1347
 358	 956.933	0.0247	0.6365	-0.6117
 359	 956.967	0.0678	0.6058	-0.5379
 360	 957.000	0.0470	0.1947	-0.1477
 361	 957.033	0.0165	0.0675	-0.0510
 362	 957.067	0.0559	0.5660	-0.5101
 363	 957.100	0.0582	0.5840	-0.5258
 364	 957.133	0.6827	0.2008	+0.4819
 365	 957.167	0.6917	0.1885	+0.5032
 366	 957.200	0.0397	0.0852	-0.0454
 367	 957.233	0.0278	1.0000	-0.9722
 368	 957.267	0.0169	1.0000	-0.9831
 369	 957.300	0.6932	0.3105	+0.3827
 370	 957.333	1.0000	0.4635	+0.5365
 371	 957.367	0.0117	0.5988	-0.5871
 372	 957.400	0.0152	0.6036	-0.5884
 373	 957.433	0.0053	0.5314	-0.5260
 374	 957.467	0.0091	0.5434	-0.5343
