frame	fused_speaker	diar_label_at_that_frame	vad_speech	eq=(fused==diar)
 152	spk_a        	spk_a                   	True      	True
 153	spk_a        	spk_a                   	True      	True
 154	spk_a        	spk_a                   	True      	True
 155	spk_a        	spk_a                   	True      	True
 156	spk_a        	spk_a                   	True      	True
 157	spk_a        	spk_a                   	True      	True
 158	spk_a        	spk_a                   	True      	True
 159	spk_a        	spk_a                   	True      	True
 160	spk_a        	spk_a                   	True      	True
 161	spk_a        	spk_a                   	True      	True
 162	spk_a        	spk_a                   	True      	True
 163	spk_a        	spk_a                   	True      	True
 164	spk_a        	spk_a                   	True      	True
 165	spk_a        	spk_a                   	True      	True
 166	spk_a        	spk_a                   	True      	True
 167	spk_a        	spk_a                   	True      	True
 168	spk_a        	spk_a                   	True      	True
 169	spk_a        	spk_a                   	True      	True
 170	spk_a        	spk_a                   	True      	True
 171	spk_a        	spk_a                   	True      	True
 172	spk_a        	spk_a                   	True      	True
 173	spk_a        	spk_a                   	True      	True
 174	spk_a        	spk_a                   	True      	True
 175	spk_a        	spk_a                   	True      	True
 176	spk_a        	spk_a                   	True      	True
 177	spk_a        	spk_a                   	True      	True
 178	spk_a        	spk_a                   	True      	True
 179	spk_a        	spk_a                   	True      	True
 180	spk_a        	spk_a                   	True      	True
 181	spk_a        	spk_a                   	True      	True
 182	spk_a        	spk_a                   	True      	True
 183	spk_a        	spk_a                   	True      	True
 184	spk_a        	spk_a                   	True      	True
 185	spk_a        	spk_a                   	True      	True
 186	spk_a        	spk_a                   	True      	True
 187	spk_a        	spk_a                   	True      	True
 188	spk_a        	spk_a                   	True      	True
 189	spk_a        	spk_a                   	True      	True
 190	spk_a        	spk_a                   	True      	True
 191	spk_a        	spk_a                   	True      	True
 192	spk_a        	spk_a                   	True      	True
 193	spk_a        	spk_a                   	True      	True
 194	spk_a        	spk_a                   	True      	True
 195	spk_a        	spk_a                   	True      	True
 196	spk_a        	spk_a                   	True      	True
 197	spk_a        	spk_a                   	True      	True
 198	spk_a        	spk_a                   	True      	True
 199	spk_a        	spk_a                   	True      	True
 200	spk_a        	spk_a                   	True      	True
 201	spk_a        	spk_a                   	True      	True
 202	spk_a        	spk_a                   	True      	True
 203	spk_a        	spk_a                   	True      	True
 204	spk_a        	spk_a                   	True      	True
 205	spk_a        	spk_a                   	True      	True
 206	spk_a        	spk_a                   	True      	True
 207	spk_a        	spk_a                   	True      	True
 208	spk_a        	spk_a                   	True      	True
 209	spk_a        	spk_a                   	True      	True
 210	silence      	spk_a                   	False     	False
 211	silence      	spk_a                   	False     	False
 212	silence      	spk_a                   	False     	False
 213	silence      	spk_a                   	False     	False
 214	silence      	spk_a                   	False     	False
 215	silence      	spk_a                   	False     	False
 216	silence      	spk_a                   	False     	False
 217	silence      	spk_a                   	False     	False
 218	silence      	spk_a                   	False     	False
 219	spk_a        	spk_a                   	True      	True
 220	spk_a        	spk_a                   	True      	True
 221	spk_a        	spk_a                   	True      	True
 222	spk_a        	spk_a                   	True      	True
 223	spk_a        	spk_a                   	True      	True
 224	spk_a        	spk_a                   	True      	True
 225	spk_a        	spk_a                   	True      	True
 226	spk_a        	spk_a                   	True      	True
 227	spk_a        	spk_a                   	True      	True
 228	spk_a        	spk_a                   	True      	True
 229	spk_a        	spk_a                   	True      	True
 230	spk_a        	spk_a                   	True      	True
 231	spk_a        	spk_a                   	True      	True
 232	spk_a        	spk_a                   	True      	True
 233	spk_a        	spk_a                   	True      	True
 234	spk_a        	spk_a                   	True      	True
 235	spk_a        	spk_a                   	True      	True
 236	spk_a        	spk_a                   	True      	True
 237	spk_a        	spk_a                   	True      	True
 238	spk_a        	spk_a                   	True      	True
 239	spk_a        	spk_a                   	True      	True
 240	spk_a        	spk_a                   	True      	True
 241	spk_a        	spk_a                   	True      	True
 242	spk_a        	spk_a                   	True      	True
 243	spk_a        	spk_a                   	True      	True
 244	spk_a        	spk_a                   	True      	True
 245	spk_a        	spk_a                   	True      	True
 246	spk_a        	spk_a                   	True      	True
 247	spk_a        	spk_a                   	True      	True
 248	spk_a        	spk_a                   	True      	True
 249	spk_a        	spk_a                   	True      	True
 250	spk_a        	spk_a                   	True      	True
 251	spk_a        	spk_a                   	True      	True
 252	spk_a        	spk_a                   	True      	True
 253	spk_a        	spk_a                   	True      	True
 254	spk_a        	spk_a                   	True      	True
 255	spk_a        	spk_a                   	True      	True
 256	spk_a        	spk_a                   	True      	True
 257	spk_a        	spk_a                   	True      	True
 258	spk_a        	spk_a                   	True      	True
 259	spk_a        	spk_a                   	True      	True
 260	spk_a        	spk_a                   	True      	True
 261	spk_a        	spk_a                   	True      	True
 262	spk_a        	spk_a                   	True      	True
 263	spk_a        	spk_a                   	True      	True
 264	spk_a        	spk_a                   	True      	True
 265	spk_a        	spk_a                   	True      	True
 266	spk_a        	spk_a                   	True      	True
 267	spk_a        	spk_a                   	True      	True
 268	spk_a        	spk_a                   	True      	True
 269	spk_a        	spk_a                   	True      	True
 270	spk_a        	spk_a                   	True      	True
 271	spk_a        	spk_a                   	True      	True
 272	spk_a        	spk_a                   	True      	True
 273	spk_a        	spk_a                   	True      	True
 274	spk_a        	spk_a                   	True      	True
 275	spk_a        	spk_a                   	True      	True
 276	spk_a        	spk_a                   	True      	True
 277	spk_a        	spk_a                   	True      	True
 278	spk_a        	spk_a                   	True      	True
