# Per-frame agreement breakdown for reel_c1: fused active speaker timeline vs diarization label
# Note: diar_label shows raw transcript segment speaker; vad_speech gates active speech evaluation.
# frame	vad_speech	fused_label	diar_label	mouth_raw	agree
 117	False	silence    	spk_a  	spk_a  	False
 118	False	silence    	spk_a  	spk_a  	False
 119	False	silence    	spk_a  	spk_a  	False
 120	True 	spk_a      	spk_a  	spk_a  	True 
 121	True 	spk_a      	spk_a  	spk_a  	True 
 122	True 	spk_a      	spk_a  	spk_a  	True 
 123	True 	spk_a      	spk_a  	spk_a  	True 
 124	True 	spk_a      	spk_a  	spk_a  	True 
 125	True 	spk_a      	spk_a  	spk_a  	True 
 126	True 	spk_a      	spk_a  	spk_a  	True 
 127	True 	spk_a      	spk_a  	spk_a  	True 
 128	True 	spk_a      	spk_a  	spk_a  	True 
 129	True 	spk_a      	spk_a  	spk_a  	True 
 130	True 	spk_a      	spk_a  	spk_a  	True 
 131	True 	spk_a      	spk_a  	spk_a  	True 
 132	True 	spk_a      	spk_a  	spk_a  	True 
 133	True 	spk_a      	spk_a  	spk_a  	True 
 134	True 	spk_a      	spk_a  	spk_a  	True 
 135	True 	spk_a      	spk_a  	spk_a  	True 
 136	True 	spk_a      	spk_a  	spk_a  	True 
 137	True 	spk_a      	spk_a  	spk_a  	True 
 138	True 	spk_a      	spk_a  	spk_a  	True 
 139	True 	spk_a      	spk_a  	spk_a  	True 
 140	True 	spk_a      	spk_a  	spk_a  	True 
 141	True 	spk_a      	spk_a  	spk_a  	True 
 142	True 	spk_a      	spk_a  	spk_a  	True 
 143	True 	spk_a      	spk_a  	spk_a  	True 
 144	True 	spk_a      	spk_a  	spk_a  	True 
 145	True 	spk_a      	spk_a  	spk_a  	True 
 146	True 	spk_a      	spk_a  	spk_a  	True 
 147	True 	spk_a      	spk_a  	spk_a  	True 
 148	True 	spk_a      	spk_a  	spk_a  	True 
 149	True 	spk_a      	spk_a  	spk_a  	True 
 150	True 	spk_a      	spk_a  	spk_a  	True 
 151	True 	spk_a      	spk_a  	spk_a  	True 
 152	True 	spk_a      	spk_a  	spk_a  	True 
 153	True 	spk_a      	spk_a  	spk_a  	True 
 154	True 	spk_a      	spk_a  	spk_a  	True 
 155	True 	spk_a      	spk_a  	spk_a  	True 
 156	True 	spk_a      	spk_a  	spk_a  	True 
 157	True 	spk_a      	spk_a  	spk_a  	True 
 158	True 	spk_a      	spk_a  	spk_a  	True 
 159	True 	spk_a      	spk_a  	spk_a  	True 
 160	True 	spk_a      	spk_a  	spk_a  	True 
 161	True 	spk_a      	spk_a  	spk_a  	True 
 162	True 	spk_a      	spk_a  	spk_a  	True 
 163	True 	spk_a      	spk_a  	spk_b  	True 
 164	True 	spk_a      	spk_a  	spk_b  	True 
 165	True 	spk_a      	spk_a  	spk_b  	True 
 166	True 	spk_a      	spk_a  	spk_b  	True 
 167	True 	spk_a      	spk_a  	spk_b  	True 
 168	True 	spk_a      	spk_a  	spk_b  	True 
 169	True 	spk_a      	spk_a  	spk_b  	True 
 170	True 	spk_a      	spk_a  	spk_b  	True 
 171	True 	spk_a      	spk_a  	spk_b  	True 
 172	True 	spk_a      	spk_a  	spk_a  	True 
 173	True 	spk_a      	spk_a  	spk_a  	True 
 174	True 	spk_a      	spk_a  	spk_a  	True 
 175	True 	spk_a      	spk_a  	spk_b  	True 
 176	True 	spk_a      	spk_a  	spk_b  	True 
 177	True 	spk_a      	spk_a  	spk_b  	True 
 178	True 	spk_a      	spk_a  	spk_b  	True 
 179	True 	spk_a      	spk_a  	spk_b  	True 
 180	True 	spk_a      	spk_a  	spk_b  	True 
 181	True 	spk_a      	spk_a  	spk_b  	True 
 182	True 	spk_a      	spk_a  	spk_b  	True 
 183	True 	spk_a      	spk_a  	spk_b  	True 
 184	True 	spk_a      	spk_a  	spk_b  	True 
 185	True 	spk_a      	spk_a  	spk_b  	True 
 186	True 	spk_a      	spk_a  	spk_b  	True 
 187	True 	spk_a      	spk_a  	spk_b  	True 
 188	True 	spk_a      	spk_a  	spk_b  	True 
 189	True 	spk_a      	spk_a  	spk_b  	True 
 190	True 	spk_a      	spk_a  	spk_b  	True 
 191	True 	spk_a      	spk_a  	spk_b  	True 
 192	True 	spk_a      	spk_a  	spk_b  	True 
 193	True 	spk_a      	spk_a  	spk_b  	True 
 194	True 	spk_a      	spk_a  	spk_b  	True 
 195	True 	spk_a      	spk_a  	spk_b  	True 
 196	True 	spk_a      	spk_a  	spk_b  	True 
 197	True 	spk_a      	spk_a  	spk_b  	True 
 198	True 	spk_a      	spk_a  	spk_b  	True 
 199	True 	spk_a      	spk_a  	spk_b  	True 
 200	True 	spk_a      	spk_a  	spk_b  	True 
 201	True 	spk_a      	spk_a  	spk_b  	True 
 202	True 	spk_a      	spk_a  	spk_b  	True 
 203	True 	spk_a      	spk_a  	spk_b  	True 
 204	True 	spk_a      	spk_a  	spk_b  	True 
 205	True 	spk_a      	spk_a  	spk_b  	True 
 206	True 	spk_a      	spk_a  	spk_b  	True 
 207	True 	spk_a      	spk_a  	spk_b  	True 
 208	True 	spk_a      	spk_a  	spk_b  	True 
 209	True 	spk_a      	spk_a  	spk_b  	True 
 210	False	silence    	spk_a  	spk_b  	False
 211	False	silence    	spk_a  	spk_b  	False
 212	False	silence    	spk_a  	spk_b  	False
 213	False	silence    	spk_a  	spk_b  	False
 214	False	silence    	spk_a  	spk_b  	False
 215	False	silence    	spk_a  	spk_b  	False
 216	False	silence    	spk_a  	spk_b  	False
 217	False	silence    	spk_a  	spk_b  	False
 218	False	silence    	spk_a  	spk_b  	False
 219	True 	spk_a      	spk_a  	spk_b  	True 
 220	True 	spk_a      	spk_a  	spk_a  	True 
 221	True 	spk_a      	spk_a  	spk_a  	True 
 222	True 	spk_a      	spk_a  	spk_a  	True 
 223	True 	spk_a      	spk_a  	spk_a  	True 
 224	True 	spk_a      	spk_a  	spk_a  	True 
 225	True 	spk_a      	spk_a  	spk_a  	True 
 226	True 	spk_a      	spk_a  	spk_a  	True 
 227	True 	spk_a      	spk_a  	spk_b  	True 
 228	True 	spk_a      	spk_a  	spk_b  	True 
 229	True 	spk_a      	spk_a  	spk_b  	True 
 230	True 	spk_a      	spk_a  	spk_b  	True 
 231	True 	spk_a      	spk_a  	spk_b  	True 
 232	True 	spk_a      	spk_a  	spk_b  	True 
 233	True 	spk_a      	spk_a  	spk_b  	True 
 234	True 	spk_a      	spk_a  	spk_b  	True 
 235	True 	spk_a      	spk_a  	spk_b  	True 
 236	True 	spk_a      	spk_a  	spk_b  	True 
 237	True 	spk_a      	spk_a  	spk_b  	True 
 238	True 	spk_a      	spk_a  	spk_b  	True 
 239	True 	spk_a      	spk_a  	spk_b  	True 
 240	True 	spk_a      	spk_a  	spk_b  	True 
 241	True 	spk_a      	spk_a  	spk_b  	True 
 242	True 	spk_a      	spk_a  	spk_b  	True 
 243	True 	spk_a      	spk_a  	spk_b  	True 
 244	True 	spk_a      	spk_a  	spk_b  	True 
 245	True 	spk_a      	spk_a  	spk_b  	True 
 246	True 	spk_a      	spk_a  	spk_a  	True 
 247	True 	spk_a      	spk_a  	spk_a  	True 
 248	True 	spk_a      	spk_a  	spk_a  	True 
 249	True 	spk_a      	spk_a  	spk_a  	True 
